"SFB-0125","TAMTAMAN","LIGHT BLUE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0126","JOKY GAL","LIGHT BLUE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0127","NEEWYORK & COMPANY","PINK","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0128","NIREANA","PINK","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0129","NO BRAND","NAVY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0130","FIELD DREAM","NAVY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0131","CRIYEEL","PURPLE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0132","CHRIS MONTEZ","CREAM","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0133","NO BRAND","GREY","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0134","NO BRAND","YELLOW","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0135","LITTLE EMOTION","BLUE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0136","THE SUIT COMPANY","NAVY","LL","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0137","GOOD DAY","CREAM","S","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0138","WANCHECHOU","ORANGE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0139","LUCA HOUSE","CREAM","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0140","UNIQLO","GREEN","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0141","HAPPINESS","LIGHT BLUE","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0142","PASSASPORT","PURPLE","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0143","SLOWLIFE","BROWN","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0144","CLAUDE CROSS","PINK","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0145","CLOSSHI","GREEN","M","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0146","CHARGE","CREAM","L","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0147","GEORGE","LIGHT GREEN","XL","Rp70,000","POLOS","SHIRT FEMALE","B"
"SFB-0148","MIN","BLUE","M","Rp70,000","POLOS","SHIRT FEMALE","B"
