Code,Grade,Category,Brand,Colour,Size,Price,Reseller Price,Remark
BFA-0000,A,BAG FEMALE,FOSSIL,BROWN,MEDIUM,300000,150000,JINJING
BFA-0001,A,BAG FEMALE,COLORADO,BROWN,MEDIUM,300000,150000,JINJING
BFA-0002,A,BAG FEMALE,AVIATOR,DARK BROWN,LARGE,350000,150000,JINJING
CNB-0000,B,CREWNECK,ADIDAS,GRAY,M,90000,50000,
CNB-0001,B,CREWNECK,UNIQLO,ORANGE,L,80000,50000,
CNB-0002,B,CREWNECK,UNIQLO,OLD GRAY,M,90000,50000,
