SFB-0133,NO BRAND,GREY,M,70000,POLOS,SHIRT FEMALE,B
SFB-0134,NO BRAND,YELLOW,M,70000,POLOS,SHIRT FEMALE,B
SFB-0135,LITTLE EMOTION,BLUE,M,70000,POLOS,SHIRT FEMALE,B
SFB-0136,THE SUIT COMPANY,NAVY,LL,70000,POLOS,SHIRT FEMALE,B
SFB-0137,GOOD DAY,CREAM,S,70000,POLOS,SHIRT FEMALE,B
SFB-0138,WANCHECHOU,ORANGE,M,70000,POLOS,SHIRT FEMALE,B
SFB-0139,LUCA HOUSE,CREAM,L,70000,POLOS,SHIRT FEMALE,B
SFB-0140,UNIQLO,GREEN,M,70000,POLOS,SHIRT FEMALE,B
SFB-0141,HAPPINESS,LIGHT BLUE,L,70000,POLOS,SHIRT FEMALE,B
SFB-0142,PASSASPORT,PURPLE,L,70000,POLOS,SHIRT FEMALE,B
SFB-0143,SLOWLIFE,BROWN,L,70000,POLOS,SHIRT FEMALE,B
SFB-0144,CLAUDE CROSS,PINK,M,70000,POLOS,SHIRT FEMALE,B
SFB-0145,CLOSSHI,GREEN,M,70000,POLOS,SHIRT FEMALE,B
SFB-0146,CHARGE,CREAM,L,70000,POLOS,SHIRT FEMALE,B
SFB-0147,GEORGE,LIGHT GREEN,XL,70000,POLOS,SHIRT FEMALE,B
SFB-0148,MIN,BLUE,M,70000,POLOS,SHIRT FEMALE,B
SFB-0149,GLOBAL WORK,PURPLE,S,70000,POLOS,SHIRT FEMALE,B
SFB-0150,UNIQLO,BLUE,S,70000,POLOS,SHIRT FEMALE,B
SFB-0151,AYLESBURRY,GREY,S,70000,POLOS,SHIRT FEMALE,B
SFB-0152,EARTH,BLUE,S,70000,POLOS,SHIRT FEMALE,B
SFB-0153,GAMINERIE,PINK,S,70000,POLOS,SHIRT FEMALE,B
SFB-0154,JINO HOUSE,BROWN,L,70000,POLOS,SHIRT FEMALE,B
SFB-0155,CANTONESE,PINK,M,70000,POLOS,SHIRT FEMALE,B
SFB-0156,DRESKIP,GREEN,M,70000,POLOS,SHIRT FEMALE,B
SFB-0157,NEARWORLD GARMENT,PINK,M,70000,POLOS,SHIRT FEMALE,B
SFB-0158,GERINGUR,GREEN,M,70000,POLOS,SHIRT FEMALE,B
SFB-0159,HOLYDEAL,CREAM,M,70000,POLOS,SHIRT FEMALE,B
SFB-0160,CLOSSHI,LIGHT BLUE,L,70000,POLOS,SHIRT FEMALE,B
SFB-0161,SPB,CREAM,M,70000,POLOS,SHIRT FEMALE,B
SFB-0162,SUNNY CLOUD,BROWN,L,70000,POLOS,SHIRT FEMALE,B
SFB-0163,BIWALL,WHITE,L,70000,POLOS,SHIRT FEMALE,B
SFB-0164,CANTONESE,CREAM,M,70000,POLOS,SHIRT FEMALE,B
SFB-0165,SAMRANG,PURPLE,L,70000,POLOS,SHIRT FEMALE,B
SFB-0166,OH ENERGY,GREY,M,70000,POLOS,SHIRT FEMALE,B
