"NO","CODE","BRAND","COLOR","SIZE","PRICE","REMARK","CATEGORY","GRADE"
"136","SFB-0135","LITTLE EMOTION","BLUE","M","70000","POLOS","SHIRT FEMALE","B"
"137","SFB-0136","THE SUIT COMPANY","NAVY","LL","70000","POLOS","SHIRT FEMALE","B"
"138","SFB-0137","GOOD DAY","CREAM","S","70000","POLOS","SHIRT FEMALE","B"
"139","SFB-0138","WANCHECHOU","ORANGE","M","70000","POLOS","SHIRT FEMALE","B"
"140","SFB-0139","LUCA HOUSE","CREAM","L","70000","POLOS","SHIRT FEMALE","B"
"141","SFB-0140","UNIQLO","GREEN","M","70000","POLOS","SHIRT FEMALE","B"
"142","SFB-0141","HAPPINESS","LIGHT BLUE","L","70000","POLOS","SHIRT FEMALE","B"
"143","SFB-0142","PASSASPORT","PURPLE","L","70000","POLOS","SHIRT FEMALE","B"
"144","SFB-0143","SLOWLIFE","BROWN","L","70000","POLOS","SHIRT FEMALE","B"
"145","SFB-0144","CLAUDE CROSS","PINK","M","70000","POLOS","SHIRT FEMALE","B"
"146","SFB-0145","CLOSSHI","GREEN","M","70000","POLOS","SHIRT FEMALE","B"
"147","SFB-0146","CHARGE","CREAM","L","70000","POLOS","SHIRT FEMALE","B"
"148","SFB-0147","GEORGE","LIGHT GREEN","XL","70000","POLOS","SHIRT FEMALE","B"
"149","SFB-0148","MIN","BLUE","M","70000","POLOS","SHIRT FEMALE","B"
"150","SFB-0149","GLOBAL WORK","PURPLE","S","70000","POLOS","SHIRT FEMALE","B"
"151","SFB-0150","UNIQLO","BLUE","S","70000","POLOS","SHIRT FEMALE","B"
"152","SFB-0151","AYLESBURRY","GREY","S","70000","POLOS","SHIRT FEMALE","B"
"153","SFB-0152","EARTH","BLUE","S","70000","POLOS","SHIRT FEMALE","B"
"154","SFB-0153","GAMINERIE","PINK","S","70000","POLOS","SHIRT FEMALE","B"
"155","SFB-0154","JINO HOUSE","BROWN","L","70000","POLOS","SHIRT FEMALE","B"
"156","SFB-0155","CANTONESE","PINK","M","70000","POLOS","SHIRT FEMALE","B"
"157","SFB-0156","DRESKIP","GREEN","M","70000","POLOS","SHIRT FEMALE","B"
"158","SFB-0157","NEARWORLD GARMENT","PINK","M","70000","POLOS","SHIRT FEMALE","B"
"159","SFB-0158","GERINGUR","GREEN","M","70000","POLOS","SHIRT FEMALE","B"
"160","SFB-0159","HOLYDEAL","CREAM","M","70000","POLOS","SHIRT FEMALE","B"
"161","SFB-0160","CLOSSHI","LIGHT BLUE","L","70000","POLOS","SHIRT FEMALE","B"
"162","SFB-0161","SPB","CREAM","M","70000","POLOS","SHIRT FEMALE","B"
"163","SFB-0162","SUNNY CLOUD","BROWN","L","70000","POLOS","SHIRT FEMALE","B"
"164","SFB-0163","BIWALL","WHITE","L","70000","POLOS","SHIRT FEMALE","B"
"165","SFB-0164","CANTONESE","CREAM","M","70000","POLOS","SHIRT FEMALE","B"
"166","SFB-0165","SAMRANG","PURPLE","L","70000","POLOS","SHIRT FEMALE","B"
"167","SFB-0166","OH ENERGY","GREY","M","70000","POLOS","SHIRT FEMALE","B"
"168","SFB-0167","ESPRITMUR","PINK","L","70000","POLOS","SHIRT FEMALE","B"
